"ID","Project.Name","Camera.Trap.Name","Latitude","Longitude","Sampling.Event","Photo.Type","Photo.Date","Photo.time","Raw.Name","Class","Order","Family","Genus","Species","Number.of.Animals","Person.Identifying.the.Photo","Camera.Serial.Number","Camera.Start.Date","Camera.End.Date","Person.setting.up.the.Camera","Person.picking.up.the.Camera","Camera.Manufacturer","Camera.Model","Sequence.Info","Moon.Phase","Temperature","Flash","Organization.Name"
1,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-09","08:47:33",NA,"Mammalia","Carnivora","Procyonidae","Nasua","nasua",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
2,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-09","08:47:34",NA,"Mammalia","Carnivora","Procyonidae","Nasua","nasua",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
3,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-05","15:09:00",NA,"Mammalia","Primates","Hominidae","Homo","sapiens",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
4,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-09","08:47:33",NA,"Mammalia","Carnivora","Procyonidae","Nasua","nasua",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
5,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-09","08:47:34",NA,"Mammalia","Carnivora","Procyonidae","Nasua","nasua",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
6,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-05","15:09:00",NA,"Mammalia","Primates","Hominidae","Homo","sapiens",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
7,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-05","15:09:02",NA,"Mammalia","Primates","Hominidae","Homo","sapiens",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
8,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-05","15:08:41",NA,"Mammalia","Primates","Hominidae","Homo","sapiens",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
9,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-05","15:08:40",NA,"Mammalia","Primates","Hominidae","Homo","sapiens",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
10,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-09","08:47:35",NA,"Mammalia","Carnivora","Procyonidae","Nasua","nasua",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
11,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-12","11:27:31",NA,"Mammalia","Primates","Hominidae","Homo","sapiens",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
12,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-12","14:39:48",NA,"No CV Result","No CV Result","No CV Result","No CV Result","No CV Result",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
13,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-12","11:28:11",NA,"Mammalia","Primates","Hominidae","Homo","sapiens",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
14,2000521,"MTRR-22",-60.614082,5.046289,2018,NA,"2019-12-12","16:15:11",NA,"No CV Result","No CV Result","No CV Result","No CV Result","No CV Result",1,NA,NA,"2019-12-05","2020-02-15","Elildo Carvalho Jr","Dionisio Ingariko","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
