project_id,deployment_id,placename,longitude,latitude,start_date,end_date,event,array_name,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by
2000521,MTRR-22 12/05/2019,MTRR-22,-60.614082,5.046289,2019-12-05,2020-02-15,,,,,,,,,,,,,,
2000521,MTRR-21 12/05/2019,MTRR-21,-60.612634,5.043025,2019-12-05,2020-02-15,,,,,,,,,,,,,,
2000521,MTRR-20 12/05/2019,MTRR-20,-60.612717,5.04919,2019-12-05,2020-02-15,,,,,,,,,,,,,,
2000521,MTRR-19 12/01/2019,MTRR-19,-60.585891,5.10687,2019-12-01,2020-02-13,,,,,,,,,,,,,,
2000521,MTRR-18 12/01/2019,MTRR-18,-60.582535,5.115231,2019-12-01,2020-01-10,,,,,,,,,,,,,,
2000521,MTRR-17 12/01/2019,MTRR-17,-60.587683,5.122716,2019-12-01,2020-01-10,,,,,,,,,,,,,,
2000521,MTRR-16 12/02/2019,MTRR-16,-60.642066,5.103754,2019-12-02,2020-02-13,,,,,,,,,,,,,,
2000521,MTRR-15 12/01/2019,MTRR-15,-60.633487,5.10029,2019-12-01,2020-01-10,,,,,,,,,,,,,,
2000521,MTRR-13 11/30/2019,MTRR-13,-60.617111,5.107065,2019-11-30,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-11 11/30/2019,MTRR-11,-60.603512,5.11925,2019-11-30,2020-02-06,,,,,,,,,,,,,,
2000521,MTRR-10 10/29/2019,MTRR-10,-60.609469,5.054239,2019-10-29,2020-02-06,,,,,,,,,,,,,,
2000521,MTRR-10 10/29/2019,MTRR-10,-60.609469,5.054239,2019-10-29,2020-02-06,,,,,,,,,,,,,,
2000521,MTRR-09 10/29/2019,MTRR-09,-60.608322,5.061641,2019-10-29,2020-01-08,,,,,,,,,,,,,,
2000521,MTRR-01 10/30/2019,MTRR-01,-60.596149,5.118312,2019-10-30,2019-12-04,,,,,,,,,,,,,,
2000521,MTRR-02 10/30/2019,MTRR-02,-60.594109,5.114355,2019-10-30,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-03 10/30/2019,MTRR-03,-60.596584,5.105556,2019-10-30,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-00 10/30/2019,MTRR-00,-60.598291,5.122004,2019-10-30,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-04 10/30/2019,MTRR-04,-60.60129,5.097491,2019-10-30,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-05 10/30/2019,MTRR-05,-60.605,5.089296,2019-10-30,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-06 10/30/2019,MTRR-06,-60.608719,5.081042,2019-10-30,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-08 10/29/2019,MTRR-08,-60.61067,5.06851,2019-10-29,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-14 11/30/2019,MTRR-14,-60.625024,5.102168,2019-11-30,2020-01-09,,,,,,,,,,,,,,
2000521,MTRR-12 11/30/2019,MTRR-12,-60.610053,5.113089,2019-11-30,2019-12-21,,,,,,,,,,,,,,
2000521,MTRR-07 10/29/2019,MTRR-07,-60.611446,5.074863,2019-10-29,2019-12-02,,,None,,None,,2005361,,Camera Functioning,Knee height,,Parallel,,
