Ordem,Família,Espécie,N fotos,N indep,Estações
Carnivora,Mustelidae,Eira barbara,18,8,2
,Felidae,Leopardus pardalis,3,1,1
,,Panthera onca,18,1,1
,,Puma concolor,6,1,1
,Procyonidae,Nasua nasua,42,12,4
Cetartiodactyla,Cervidae,Mazama americana,6,2,1
,,Mazama nemorivaga,31,5,4
,,Mazama spp.,47,12,8
Cingulata,Chlamyphoridae,Cabassous unicinctus,6,3,2
Didelphimorphia,Didelphidae,Didelphis spp.,21,8,3
,,Metachirus nudicaudatus,3,1,1
Perissodactyla,Tapiridae,Tapirus terrestris,38,6,3
Pilosa,Myrmecophagidae,Tamandua tetradactyla,3,1,1
Primates,Atelidae,Ateles paniscus,-,-,-
,Cebidae,Cebus olivaceus,9,1,1
Rodentia,Cuniculidae,Cuniculus paca,68,30,4
,Dasyproctidae,Dasyprocta leporina,301,56,9
