"Ordem","Família","Espécie","N.fotos","N.registros"
"ACCIPITRIFORMES","ACCIPITRIDAE","Buteogallus ",6,2
"PASSERIFORMES","FORMICARIIDAE","Chamaeza campanisona",6,2
"GALLIFORMES","CRACIDAE","Crax alector",15,4
"STRUTHIONIFORMES","TINAMIDAE","Crypturellus ",3,1
"STRUTHIONIFORMES","TINAMIDAE","Crypturellus variegatus",30,6
"COLUMBIFORMES","COLUMBIDAE","Geotrygon montana",3,1
"COLUMBIFORMES","COLUMBIDAE","Leptotila ",292,62
"GALLIFORMES","ODONTOPHORIDAE","Odontophorus gujanensis",57,5
"GALLIFORMES","CRACIDAE","Penelope ",12,1
"GALLIFORMES","CRACIDAE","Penelope marail",22,2
"CUCULIFORMES","CUCULIDAE","Piaya cayana",6,1
"PASSERIFORMES","TYRANNIDAE","Pitangus sulphuratus",3,1
"STRUTHIONIFORMES","TINAMIDAE","Tinamus ",12,2
"STRUTHIONIFORMES","TINAMIDAE","Tinamus major",48,10
"PASSERIFORMES","TURDIDAE","Turdus albicollis",6,2
